time,direct_radiation_s1,wind_direction_80m_s1,wind_speed_80m_s1,temperature_2m_s1,relative_humidity_2m_s1,precipitation_s1,direct_radiation_s2,wind_direction_80m_s2,wind_speed_80m_s2,temperature_2m_s2,relative_humidity_2m_s2,precipitation_s2,direct_radiation_s3,wind_direction_80m_s3,wind_speed_80m_s3,temperature_2m_s3,relative_humidity_2m_s3,precipitation_s3,real_power
2024/1/1 0:00,0,199.11981,28.576382,-12.15,78,0,0,201,25.919998,-13.1,81,0,0,189.78233,10.594036,-11.6,75,0,30
2024/1/1 0:15,0,199.79897,28.696312,-12.2,78,0,0,202,26.64,-13,80,0,0,189.78233,10.594036,-11.75,75,0,35.94
2024/1/1 0:30,0,200.22495,29.157776,-12.25,78,0,0,204,27,-12.95,80,0,0,187.85323,10.538843,-11.9,76,0,45.44
2024/1/1 0:45,0,200.88588,29.28418,-12.3,78,0,0,205,27.359999,-12.85,79,0,0,187.85323,10.538843,-12.05,76,0,57.34
2024/1/1 1:00,0,201.54105,29.414444,-12.3,78,0,0,206,27.72,-12.75,78,0,0,187.85323,10.538843,-12.2,76,0,61.44
2024/1/1 1:15,0,202.19034,29.548521,-12.35,78,0,0,207,28.08,-12.7,78,0,0,187.85323,10.538843,-12.3,76,0,69.94
2024/1/1 1:30,0,202.45699,29.215502,-12.45,78,0,0,209,28.44,-12.65,77,0,0,187.85323,10.538843,-12.45,76,0,73.74
2024/1/1 1:45,0,202.45699,29.215502,-12.45,78,0,0,210,28.44,-12.6,76,0,0,187.85323,10.538843,-12.55,76,0,83.54
2024/1/1 2:00,0,203.38524,29.024128,-12.4,78,0,0,211,28.44,-12.6,76,0,0,189.78233,10.594036,-12.65,76,0,84.54
2024/1/1 2:15,0,204.97388,28.99062,-12.25,78,0,0,213,28.44,-12.6,76,0,0,191.68935,10.661107,-12.7,76,0,68.04
2024/1/1 2:30,0,206.56499,28.97944,-12,77,0,0,214,28.08,-12.65,75,0,0,193.57045,10.739833,-12.75,76,0,48.64
2024/1/1 2:45,0,208.1561,28.99062,-11.7,77,0,0,216,27.72,-12.7,75,0,0,195.94547,10.483357,-12.75,75,0,38.74
2024/1/1 3:00,0,209.7448,29.024128,-11.5,77,0,0,217,27.359999,-12.75,75,0,0,197.81898,10.587917,-12.8,75,0,32.64
2024/1/1 3:15,0,210.96368,29.387999,-11.4,77,0,0,219,27,-12.8,75,0,0,201.4478,10.829958,-12.8,75,0,24.44
2024/1/1 3:30,0,211.20045,29.88217,-11.35,77,0,0,220,26.64,-12.9,75,0,0,203.19862,10.966713,-12.8,74,0,22.84
2024/1/1 3:45,0,211.42952,30.376833,-11.35,78,0,0,222,26.28,-13,75,0,0,207.40749,10.948973,-12.75,73,0,22.24
2024/1/1 4:00,0,212.93869,30.45566,-11.3,78,0,0,223,25.56,-13.05,75,0,0,210.65059,11.298495,-12.75,73,0,19.94
2024/1/1 4:15,0,214.82455,30.25928,-11.3,78,0,0,225,24.84,-13.15,75,0,0,212.19571,11.4862,-12.7,73,0,19.34
2024/1/1 4:30,0,217.6943,30.027107,-11.3,79,0,0,226,24.48,-13.2,75,0,0,216.15828,11.592894,-12.7,72,0,28.34
2024/1/1 4:45,0,220.52502,29.363731,-11.3,79,0,0,228,23.759998,-13.25,75,0,0,217.56866,11.808878,-12.65,72,0,39.24
2024/1/1 5:00,0,222.99045,29.03752,-11.25,79,0,0,229,23.039999,-13.3,75,0,0,220.0302,11.753876,-12.65,72,0,40.94
2024/1/1 5:15,0,225.5161,28.257132,-11.2,79,0,0,231,22.319998,-13.3,75,0,0,222.5104,11.720751,-12.65,72,0,36.94
2024/1/1 5:30,0,227.12111,27.511158,-11.15,79,0,0,233,21.599998,-13.35,75,0,0,223.7812,11.966954,-12.7,72,0,31.74
2024/1/1 5:45,0,229.39879,26.552288,-11.1,79,0,0,235,20.519999,-13.4,76,0,0,224.9999,11.709688,-12.75,72,0,27.64
2024/1/1 6:00,0,231.7098,26.14403,-11.1,79,0,0,237,19.44,-13.5,76,0,0,227.4896,11.720751,-12.8,72,0,22.14
2024/1/1 6:15,0,233.44743,25.992401,-11.2,79,0,0,239,18.359999,-13.55,77,0,0,229.9698,11.753876,-12.85,72,0,15.84
2024/1/1 6:30,0,235.65384,26.161375,-11.35,79,0,0,241,17.64,-13.55,77,0,0,232.43134,11.808878,-12.9,73,0,11.24
2024/1/1 6:45,0,237.17146,26.562046,-11.5,78,0,0,243,16.56,-13.6,78,0,0,232.43134,11.808878,-12.9,73,0,10.74
2024/1/1 7:00,0,238.49579,26.178707,-11.6,78,0,0,245,15.4800005,-13.6,78,0,0,234.86572,11.885453,-12.9,73,0,9.64
2024/1/1 7:15,0,239.4525,25.49908,-11.75,78,0,0,247,14.4,-13.55,78,0,0,237.26477,11.983188,-12.8,73,0,7.74
2024/1/1 7:30,0,240.36171,24.023088,-11.9,78,0,0,249,13.679999,-13.45,78,0,0,237.26477,11.983188,-12.7,73,0,8.44
2024/1/1 7:45,0,240.5929,22.728518,-12.05,77,0,0,251,12.959999,-13.3,78,0,0,239.62096,12.10157,-12.55,73,0,6.54
2024/1/1 8:00,0,241.31395,21.749483,-12,77,0,0,253,12.24,-13.15,77,0,0,240.4613,12.413477,-12.35,72,0,4.14
2024/1/1 8:15,7,240.37634,21.120682,-11.85,77,0,10.943991,254,11.879999,-12.9,76,0,1,241.2603,12.7279215,-12,71,0,5.54
2024/1/1 8:30,15,239.88634,20.808498,-11.55,76,0,27.354511,255,11.159999,-12.55,75,0,2,242.02061,13.0447235,-11.6,70,0,6.74
2024/1/1 8:45,23,239.38147,20.497883,-11.15,76,0,45.96212,256,10.799999,-12.2,73,0,2,242.74475,13.363711,-11.15,69,0,6.94
2024/1/1 9:00,34,238.8611,20.188908,-10.7,75,0,66.48087,257,10.440001,-11.8,72,0,3,243.43501,13.684735,-10.7,68,0,5.84
2024/1/1 9:15,45,239.74365,20.00512,-10.15,74,0,87.74468,258,10.08,-11.35,70,0,4,244.09354,14.007655,-10.15,67,0,7.94
2024/1/1 9:30,57,241.55717,19.652176,-9.45,73,0,108.389336,260,9.72,-10.9,68,0,5,243.43501,14.48972,-9.6,65,0,9.54
2024/1/1 9:45,67,242.96922,19.803272,-8.8,73,0,128.56738,261,9.72,-10.4,66,0,5,243.43501,15.2947035,-9,63,0,7.24
2024/1/1 10:00,78,244.85524,19.486609,-8.15,72,0,147.04443,262,9.36,-9.9,64,0,6,244.02565,15.617529,-8.45,62,0,7.64
2024/1/1 10:15,89,246.80139,19.191748,-7.65,72,0,163.41263,263,9.36,-9.4,63,0,7,244.59233,15.941944,-7.9,61,0,5.14
2024/1/1 10:30,97,247.79646,19.05281,-7.15,71,0,177.38596,264,9.36,-8.9,61,0,8,245.65892,16.595179,-7.4,59,0,8.04
2024/1/1 10:45,105,249.82925,18.792551,-6.7,71,0,188.78076,265,9.72,-8.45,59,0,10,247.28555,16.78156,-6.9,58,0,8.04
2024/1/1 11:00,112,250.49745,18.331741,-6.25,71,0,197.49593,266,9.72,-8,58,0,13,249.30446,17.31746,-6.45,57,0,6.54
2024/1/1 11:15,117,251.20001,17.873554,-5.85,71,0,202.35599,267,10.08,-7.5,57,0,16,252.29948,17.76081,-6.05,56,0,5.64
2024/1/1 11:30,121,252.71841,16.965895,-5.5,70,0,205.62146,269,10.440001,-7,56,0,19,255.42574,18.59845,-5.65,56,0,4.14
2024/1/1 11:45,123,253.5399,16.516901,-5.2,69,0,205.05084,270,11.159999,-6.5,54,0,23,258.05585,19.13426,-5.3,55,0,5.14
2024/1/1 12:00,125,254.40712,16.071491,-4.9,69,0,204.24255,272,11.879999,-5.95,53,0,27,261.72418,20.008356,-5,55,0,9.74
2024/1/1 12:15,125,255.65063,15.978486,-4.65,69,0,199.7399,273,12.599999,-5.4,52,0,31,265.07297,20.957443,-4.65,55,0,10.74
2024/1/1 12:30,125,258.17853,15.815435,-4.45,69,0,193.998,275,13.32,-4.85,51,0,35,267.1845,21.986542,-4.35,54,0,10.44
2024/1/1 12:45,125,259.46088,15.745627,-4.3,69,0,187.09117,276,14.04,-4.35,51,0,38,270,23.039999,-4.1,54,0,12.14
